municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
PIOJÓ,2022,10,3,1,0,0,3,0,3,0,0,0,0,0,10,9,1,3,7,0,10,7,3,0,10,0,0,0,10,0,0,1,0,9,0,0,1,0,2,3,1,0,0,1,0,0,2
PIOJÓ,2023,36,20,2,0,0,12,0,2,3,0,0,0,0,33,35,1,11,25,0,36,11,25,0,36,0,0,0,27,3,6,3,0,33,0,0,0,0,0,0,2,3,6,19,0,3,3
POLONUEVO,2017,5,0,2,0,0,1,0,2,0,0,0,0,0,5,5,0,4,1,0,5,0,5,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,1,2,0
POLONUEVO,2018,199,91,19,1,0,61,0,27,80,1,0,0,1,117,197,2,72,127,1,198,89,110,199,0,0,0,0,197,2,0,36,0,163,2,1,0,0,1,5,14,6,11,21,61,59,18
POLONUEVO,2019,116,55,21,1,0,28,1,10,33,0,0,0,1,82,114,2,19,97,0,116,58,58,116,0,0,0,0,114,2,0,32,0,84,10,2,1,2,5,5,7,35,34,4,5,1,5
POLONUEVO,2020,13,3,5,1,0,1,1,2,5,0,0,0,1,7,13,0,5,8,0,13,7,6,13,0,0,0,0,13,0,0,1,0,12,6,1,1,0,1,1,1,0,0,2,0,0,0
POLONUEVO,2021,27,15,3,2,0,4,1,2,6,0,0,1,1,19,27,0,11,16,0,27,14,13,27,0,0,0,0,27,0,0,1,0,26,0,0,0,0,0,0,0,2,3,8,6,3,5
POLONUEVO,2022,26,7,9,1,0,3,2,4,7,0,0,0,0,19,26,0,9,17,0,26,10,16,26,0,0,0,0,26,0,0,3,0,23,3,0,0,3,2,1,3,2,1,3,1,5,2
POLONUEVO,2023,13,1,5,0,0,5,0,2,5,0,0,0,0,8,13,0,4,9,0,13,4,9,13,0,0,0,0,13,0,0,2,0,11,1,0,0,0,0,1,4,4,0,1,0,0,2
PONEDERA,2017,3,1,1,0,0,0,0,1,0,0,0,0,0,3,3,0,2,1,0,3,1,2,0,0,0,3,0,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0
PONEDERA,2018,6,2,3,0,0,1,0,0,1,0,0,0,0,5,6,0,4,2,0,6,3,3,0,0,0,6,0,5,1,0,2,0,4,0,1,0,0,0,0,0,0,0,1,0,4,0
PONEDERA,2019,56,23,9,1,0,16,0,7,12,0,1,0,2,41,56,0,19,37,0,56,31,25,0,0,0,56,0,40,16,0,8,0,48,3,3,2,0,0,0,3,1,2,8,4,14,16
PONEDERA,2020,27,8,2,0,0,10,0,7,8,0,1,0,2,16,27,0,6,21,0,27,18,9,0,0,0,27,0,21,6,0,2,0,25,12,10,1,0,1,0,0,0,0,1,0,0,2
PONEDERA,2021,9,4,2,2,0,1,0,0,1,0,1,0,0,7,8,1,3,6,0,9,5,4,0,0,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0,2,1,1,0,3,2
PONEDERA,2022,38,19,11,2,0,3,1,2,4,0,1,0,2,31,36,2,3,35,0,38,15,23,0,0,0,38,0,27,10,1,10,0,28,0,1,0,0,0,0,5,3,4,6,15,3,1
PONEDERA,2023,50,24,18,0,0,7,0,1,11,0,2,0,0,37,50,0,19,31,0,50,26,24,0,0,0,50,0,18,32,0,15,0,35,1,1,2,0,1,1,0,5,0,5,9,16,9
PUERTO COLOMBIA,2017,14,1,7,1,0,2,0,3,7,0,0,0,1,6,13,1,8,6,0,14,9,5,0,0,14,0,0,14,0,0,5,0,9,0,0,1,0,0,0,0,0,0,3,3,1,6
PUERTO COLOMBIA,2018,38,14,12,0,0,9,0,3,17,1,0,1,1,18,38,0,12,26,0,38,14,24,0,0,38,0,0,36,1,1,12,0,26,2,1,0,0,1,1,5,4,2,0,6,13,3
PUERTO COLOMBIA,2019,41,11,15,3,1,6,0,5,20,0,2,0,1,18,41,0,6,35,0,41,21,20,0,0,41,0,0,37,4,0,9,0,32,3,0,0,0,2,7,2,2,1,1,4,8,11
PUERTO COLOMBIA,2020,25,9,9,0,0,4,0,3,13,0,0,0,2,10,24,1,7,18,0,25,11,14,0,0,25,0,0,20,5,0,6,0,19,9,8,5,1,0,0,0,0,0,1,1,0,0
PUERTO COLOMBIA,2021,70,26,14,1,0,14,0,15,27,0,1,1,3,38,67,3,37,33,0,70,40,30,0,0,70,0,0,67,3,0,12,0,58,1,2,0,0,1,0,0,1,0,0,4,27,34
PUERTO COLOMBIA,2022,539,262,152,10,0,88,0,27,244,0,17,6,14,258,490,49,255,284,0,539,254,285,0,0,539,0,0,517,22,0,192,2,345,25,17,9,8,23,66,76,113,57,51,36,32,26
PUERTO COLOMBIA,2023,53,17,16,4,0,8,0,8,31,0,0,1,0,21,51,2,33,20,0,53,28,25,0,0,53,0,0,52,1,0,22,0,31,9,5,7,3,4,3,1,5,0,4,5,2,5
REPELÓN,2017,11,5,2,1,0,1,1,1,1,0,0,0,1,9,11,0,10,1,0,11,5,6,0,0,0,0,11,10,1,0,1,0,10,0,0,0,0,0,0,0,0,2,4,1,2,2
REPELÓN,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
REPELÓN,2019,23,12,0,0,0,8,0,3,4,0,0,2,2,15,22,1,3,20,0,23,8,15,0,0,0,0,23,21,2,0,2,0,21,0,0,0,0,0,0,1,0,0,1,0,4,17
REPELÓN,2020,57,32,3,0,0,13,1,8,15,0,1,2,1,38,57,0,8,49,0,57,31,26,0,0,0,0,57,40,17,0,8,0,49,20,12,5,1,4,4,0,1,3,2,2,1,2
REPELÓN,2021,6,1,3,0,0,0,0,2,0,0,0,0,0,6,5,1,2,4,0,6,1,5,0,0,0,0,6,6,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,1,2
REPELÓN,2022,4,1,1,1,0,1,0,0,0,0,0,0,0,4,1,3,0,4,0,4,3,1,0,0,0,0,4,3,1,0,1,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0
REPELÓN,2023,4,1,2,0,0,1,0,0,2,0,0,0,0,2,4,0,1,3,0,4,1,3,0,0,0,0,4,4,0,0,1,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0
SABANAGRANDE,2017,5,0,2,0,0,0,1,2,2,0,0,0,0,3,5,0,2,3,0,5,0,5,0,0,0,5,0,5,0,0,2,0,3,1,1,1,0,0,1,0,0,0,0,0,1,0
SABANAGRANDE,2018,12,3,4,0,0,3,0,2,5,0,0,0,0,7,12,0,6,6,0,12,5,7,0,0,0,12,0,12,0,0,3,0,9,2,0,0,1,0,1,0,2,1,1,3,1,0
SABANAGRANDE,2019,14,5,3,2,0,2,0,2,3,0,0,0,2,9,14,0,2,12,0,14,6,8,0,0,0,14,0,13,1,0,5,0,9,0,0,2,0,0,0,1,2,2,2,1,1,3
SABANAGRANDE,2020,27,11,6,0,0,9,0,1,8,0,0,1,2,16,27,0,7,20,0,27,13,14,0,0,0,27,0,27,0,0,0,0,27,4,2,0,0,0,0,0,0,0,0,1,4,16
SABANAGRANDE,2021,19,8,5,1,0,4,0,1,7,0,0,0,0,12,18,1,9,10,0,19,10,9,0,0,0,19,0,19,0,0,3,0,16,9,2,0,0,0,1,0,0,0,2,0,1,4
SABANAGRANDE,2022,15,5,4,0,0,4,0,2,3,0,1,0,0,11,15,0,5,10,0,15,6,9,0,0,0,15,0,15,0,0,2,0,13,1,1,0,0,0,0,0,2,3,1,4,3,0
SABANAGRANDE,2023,7,1,2,0,0,1,0,3,5,0,0,0,0,2,7,0,1,6,0,7,1,6,0,0,0,7,0,5,2,0,4,0,3,1,0,2,1,0,0,1,0,0,1,0,0,1
