municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13,humedad,precipitacion,dist_rio_1,dist_lag_1,temp_media
CAMPO DE LA CRUZ,2021,15,0.1333333333333333,0.3333333333333333,0.1333333333333333,0.0,0.1333333333333333,0.0,0.2666666666666666,0.2,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.5333333333333333,0.4666666666666667,0.0,1.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.1333333333333333,0.0666666666666666,0.2,0.4666666666666667,88.5873794555664,373539.155241398,0.262271827829908,5.433398254450008,28.067300796508793
CAMPO DE LA CRUZ,2022,79,0.3417721518987341,0.1518987341772152,0.0253164556962025,0.0,0.3417721518987341,0.0126582278481012,0.1265822784810126,0.0379746835443038,0.0,0.0,0.0759493670886076,0.0253164556962025,0.8607594936708861,0.9620253164556962,0.0379746835443038,0.5189873417721519,0.4810126582278481,0.0,1.0,0.4810126582278481,0.5189873417721519,0.0,0.0,0.0,0.0,1.0,0.9113924050632912,0.0632911392405063,0.0253164556962025,0.6582278481012658,0.0,0.3417721518987341,0.0253164556962025,0.2151898734177215,0.0632911392405063,0.0632911392405063,0.0379746835443038,0.1392405063291139,0.1645569620253164,0.1265822784810126,0.0759493670886076,0.0379746835443038,0.0253164556962025,0.0253164556962025,0.0,89.87853240966797,463243.6593551668,0.262271827829908,5.433398254450008,27.842816352844242
CAMPO DE LA CRUZ,2023,17,0.2352941176470588,0.2352941176470588,0.0,0.0,0.2941176470588235,0.0588235294117647,0.1764705882352941,0.0588235294117647,0.0,0.0588235294117647,0.0588235294117647,0.0,0.8235294117647058,1.0,0.0,0.8235294117647058,0.1764705882352941,0.0,1.0,0.5294117647058824,0.4705882352941176,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8235294117647058,0.0,0.1764705882352941,0.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0588235294117647,0.3529411764705882,0.2352941176470588,0.0588235294117647,0.1176470588235294,0.0,0.0,0.0588235294117647,88.44047546386719,340193.4900922155,0.262271827829908,5.433398254450008,28.673089027404785
CANDELARIA,2017,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,90.12515258789062,391557.69860685687,1.044205284417448,4.608124745188931,28.028518676757812
CANDELARIA,2018,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.10948181152344,334465.0519275829,1.044205284417448,4.608124745188931,27.98924446105957
CANDELARIA,2019,28,0.3571428571428571,0.1071428571428571,0.0,0.0,0.4642857142857143,0.0,0.0714285714285714,0.25,0.0,0.0,0.0357142857142857,0.0357142857142857,0.6785714285714286,1.0,0.0,0.3214285714285714,0.6785714285714286,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.9642857142857144,0.0357142857142857,0.0,0.1428571428571428,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.2857142857142857,0.0714285714285714,0.1428571428571428,89.70257568359375,305777.8848749644,1.044205284417448,4.608124745188931,28.216026306152344
CANDELARIA,2020,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.01632690429688,381519.73769484,1.044205284417448,4.608124745188931,27.88378715515137
CANDELARIA,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.97857666015625,373539.155241398,1.044205284417448,4.608124745188931,27.76463508605957
CANDELARIA,2022,13,0.5384615384615384,0.0,0.0769230769230769,0.0,0.0,0.0,0.3846153846153846,0.1538461538461538,0.0,0.0,0.0,0.0,0.8461538461538461,0.8461538461538461,0.1538461538461538,0.6923076923076923,0.3076923076923077,0.0,1.0,0.6153846153846154,0.3846153846153846,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5384615384615384,0.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.1538461538461538,0.0,0.1538461538461538,0.0769230769230769,0.0,91.22797393798828,463243.6593551668,1.044205284417448,4.608124745188931,27.55031967163086
CANDELARIA,2023,7,0.5714285714285714,0.2857142857142857,0.0,0.0,0.1428571428571428,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.1428571428571428,0.2857142857142857,0.7142857142857143,0.0,1.0,0.4285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.4285714285714285,0.0,0.4285714285714285,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.1428571428571428,89.83643341064453,340193.4900922155,1.044205284417448,4.608124745188931,28.343040466308594
