municipio,año,periodo,semana,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,temp_media,humedad,precipitacion,acueducto_continuidad_horas_dia,acueducto_continuidad_porcentaje,dist_rio,dist_lago
BARANOA,2018,13,49,12,0.5833333333333334,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,0.1666666666666666,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.4166666666666667,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,26.61586914062502,92.45698765345982,0.0800000014049665,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,13,50,15,0.4,0.0666666666666666,0.0,0.0,0.3333333333333333,0.0,0.2,0.2666666666666666,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.0,0.0666666666666666,0.9333333333333332,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,27.2178414481027,90.47938864571708,0.0685714262404611,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,13,51,12,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0833333333333333,0.9166666666666666,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.0,0.25,0.0,0.75,26.830126517159613,92.01140812465124,0.2100000080785581,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,13,52,15,0.4,0.0666666666666666,0.0,0.0,0.3333333333333333,0.0,0.2,0.4,0.0,0.0,0.0,0.0666666666666666,0.5333333333333333,1.0,0.0,0.1333333333333333,0.8666666666666667,0.0,1.0,0.5333333333333333,0.4666666666666667,1.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0666666666666666,0.3333333333333333,0.0,0.6666666666666666,26.959917776925245,84.72386823381696,0.0,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2019,1,1,16,0.5625,0.0625,0.0,0.0,0.3125,0.0,0.0625,0.4375,0.0,0.0,0.0,0.0,0.5625,1.0,0.0,0.0,1.0,0.0,1.0,0.6875,0.3125,1.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.75,26.69031023297993,87.2140862601144,4.428571428571429,23.54,98.34,1.275986857905614,17.60367485448971
BARANOA,2019,1,2,18,0.6111111111111112,0.0555555555555555,0.0,0.0,0.2777777777777778,0.0,0.0555555555555555,0.2777777777777778,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.0,0.0555555555555555,0.9444444444444444,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0555555555555555,0.0,0.9444444444444444,26.40384608677457,90.3831787109375,8.317143125193459,23.54,98.34,1.275986857905614,17.60367485448971
BARANOA,2019,1,3,13,0.3846153846153846,0.0769230769230769,0.0,0.0,0.3846153846153846,0.0,0.1538461538461538,0.1538461538461538,0.0,0.1538461538461538,0.0,0.0,0.6923076923076923,0.9230769230769232,0.0769230769230769,0.1538461538461538,0.8461538461538461,0.0,1.0,0.6923076923076923,0.3076923076923077,1.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.1538461538461538,0.0,0.0769230769230769,0.0,0.9230769230769232,26.787223161969887,87.76782335553851,0.0,23.54,98.34,1.275986857905614,17.60367485448971
BARANOA,2019,1,4,8,0.375,0.125,0.0,0.0,0.375,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.0,0.625,27.39328918457033,87.23919459751674,5.714285714285714,23.54,98.34,1.275986857905614,17.60367485448971
BARANOA,2019,2,5,4,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75,27.02990766252792,87.59246608189174,2.7142857142857144,23.54,98.34,1.275986857905614,17.60367485448971
BARANOA,2019,2,6,5,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,1.0,0.0,1.0,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.0,0.8,27.342178780691988,83.54926518031529,0.0,23.54,98.34,1.275986857905614,17.60367485448971
