municipio,humedad_relativa,año
SAN PEDRO DE CARTAGO,,2017
SANTA BÁRBARA,0.0,2017
SANTACRUZ,0.0,2017
SAPUYES,0.0,2017
TAMINANGO,0.0,2017
TANGUA,0.0,2017
SAN ANDRÉS DE TUMACO,0.0,2017
TÚQUERRES,0.0,2017
YACUANQUER,,2017
SAN JOSÉ DE CÚCUTA,89.39,2017
ÁBREGO,89.83,2017
ARBOLEDAS,87.38,2017
BOCHALEMA,90.19,2017
BUCARASICA,85.94,2017
CÁCOTA,88.62,2017
CÁCHIRA,86.51,2017
CHINÁCOTA,94.11,2017
CHITAGÁ,91.17,2017
CONVENCIÓN,95.53,2017
CUCUTILLA,85.88,2017
DURANIA,88.96,2017
EL CARMEN,93.37,2017
EL TARRA,94.62,2017
EL ZULIA,84.26,2017
GRAMALOTE,79.16,2017
HACARÍ,90.74,2017
HERRÁN,91.98,2017
LABATECA,91.85,2017
LA ESPERANZA,85.8,2017
LA PLAYA,94.01,2017
LOS PATIOS,79.86,2017
LOURDES,81.56,2017
MUTISCUA,90.84,2017
OCAÑA,90.36,2017
PAMPLONA,86.4,2017
PAMPLONITA,90.09,2017
PUERTO SANTANDER,95.65,2017
RAGONVALIA,89.78,2017
SALAZAR,83.2,2017
SAN CALIXTO,94.29,2017
SAN CAYETANO,80.76,2017
SANTIAGO,79.64,2017
SARDINATA,89.86,2017
SILOS,92.22,2017
TEORAMA,95.14,2017
TIBÚ,95.13,2017
TOLEDO,90.89,2017
VILLA CARO,87.66,2017
VILLA DEL ROSARIO,82.53,2017
ARMENIA,0.0,2017
BUENAVISTA,,2017
CALARCÁ,0.0,2017
CIRCASIA,0.0,2017
CÓRDOBA,0.0,2017
FILANDIA,0.0,2017
GÉNOVA,0.0,2017
LA TEBAIDA,0.0,2017
MONTENEGRO,0.0,2017
PIJAO,0.0,2017
QUIMBAYA,0.0,2017
SALENTO,0.0,2017
PEREIRA,0.0,2017
APÍA,,2017
BALBOA,0.0,2017
BELÉN DE UMBRÍA,0.0,2017
DOSQUEBRADAS,,2017
GUÁTICA,0.0,2017
LA CELIA,0.0,2017
LA VIRGINIA,,2017
MARSELLA,0.0,2017
MISTRATÓ,0.0,2017
PUEBLO RICO,0.0,2017
QUINCHÍA,0.0,2017
SANTA ROSA DE CABAL,0.0,2017
SANTUARIO,0.0,2017
BUCARAMANGA,85.64,2017
AGUADA,96.62,2017
ALBANIA,88.38,2017
ARATOCA,90.8,2017
BARBOSA,,2017
BARICHARA,88.47,2017
BARRANCABERMEJA,93.48,2017
BETULIA,90.19,2017
BOLÍVAR,92.72,2017
CABRERA,,2017
CALIFORNIA,,2017
CAPITANEJO,,2017
CARCASÍ,86.3,2017
CEPITÁ,86.83,2017
CERRITO,91.42,2017
CHARALÁ,93.63,2017
CHARTA,,2017
CHIMA,94.03,2017
CHIPATÁ,90.05,2017
CIMITARRA,94.26,2017
CONCEPCIÓN,91.14,2017
CONFINES,,2017
CONTRATACIÓN,95.13,2017
COROMORO,89.84,2017
CURITÍ,92.3,2017
