municipio,año,temp_max,temp_min,humedad,precipitacion,dist_rio_1,dist_lag_1
JUAN DE ACOSTA,2018,30.65390396118164,24.137725830078125,88.66046905517578,241351.89145142084,1.859178163350998,10.258566363420968
JUAN DE ACOSTA,2019,31.08185577392578,24.43252944946289,87.79708099365234,214347.74718937807,1.859178163350998,10.258566363420968
JUAN DE ACOSTA,2020,30.606861114501957,24.22906875610352,88.4839096069336,300657.8360249273,1.859178163350998,10.258566363420968
JUAN DE ACOSTA,2021,30.23080444335937,23.984561920166016,88.74942016601562,314017.8409539347,1.859178163350998,10.258566363420968
JUAN DE ACOSTA,2022,30.033811569213867,23.810726165771484,90.12423706054688,447573.3034850473,1.859178163350998,10.258566363420968
JUAN DE ACOSTA,2023,30.907634735107425,24.36783218383789,88.96965026855469,275412.42767155985,1.859178163350998,10.258566363420968
LURUACO,2017,15.50051498413086,12.237421989440918,44.42633056640625,167094.04949220893,1.906556563719911,1.591647379259128
LURUACO,2018,15.652217864990234,12.224559783935549,43.9827766418457,120675.94572571042,1.906556563719911,1.591647379259128
LURUACO,2019,15.89531421661377,12.348577499389648,43.61069869995117,107173.87359468904,1.906556563719911,1.591647379259128
LURUACO,2020,15.625824928283691,12.262605667114258,43.906776428222656,150328.91801246366,1.906556563719911,1.591647379259128
LURUACO,2021,15.411877632141112,12.160126686096191,44.02111053466797,157008.92047696735,1.906556563719911,1.591647379259128
LURUACO,2022,15.299978256225586,12.086999893188477,44.613582611083984,223786.65174252365,1.906556563719911,1.591647379259128
LURUACO,2023,15.796347618103027,12.321361541748049,44.11602020263672,137706.21383577993,1.906556563719911,1.591647379259128
MALAMBO,2017,30.76960182189941,24.69244956970215,89.14166768391927,421043.3749914006,0.963124270240725,4.55644505974474
MALAMBO,2018,30.564308802286785,24.601163228352863,89.04589080810547,336746.1693722091,0.963124270240725,4.55644505974474
MALAMBO,2019,30.71681722005208,24.74955368041992,89.12086741129558,341760.5270517689,0.963124270240725,4.55644505974474
MALAMBO,2020,30.618948618570965,24.643917083740234,89.14006042480469,448832.26300155534,0.963124270240725,4.55644505974474
MALAMBO,2021,30.444127400716145,24.51705042521159,88.80518086751302,431834.3019388146,0.963124270240725,4.55644505974474
MALAMBO,2022,30.45840835571289,24.34124183654785,89.47176361083984,589090.9803422183,0.963124270240725,4.55644505974474
MALAMBO,2023,30.980862935384117,24.84938112894694,89.18203226725261,370855.6270514449,0.963124270240725,4.55644505974474
MANATÍ,2017,31.62969970703125,24.972177505493164,88.30472564697266,364759.4959648015,1.595381567945146,5.478245445148
MANATÍ,2018,31.75265312194824,24.88922500610352,88.13671112060547,303922.06152697135,1.595381567945146,5.478245445148
MANATÍ,2019,32.237098693847656,25.245838165283203,87.39611053466797,266313.205193918,1.595381567945146,5.478245445148
MANATÍ,2020,31.778221130371094,25.059228897094727,87.49669647216797,313398.2946734448,1.595381567945146,5.478245445148
MANATÍ,2021,31.435081481933597,24.78866577148437,87.85797119140625,348982.6209529785,1.595381567945146,5.478245445148
MANATÍ,2022,31.1462459564209,24.598712921142575,88.86631774902344,438751.0360493072,1.595381567945146,5.478245445148
MANATÍ,2023,32.21882629394531,25.185945510864254,87.96309661865234,307207.62678143097,1.595381567945146,5.478245445148
PALMAR DE VARELA,2017,31.35962677001953,24.6790714263916,89.96725463867188,550048.4390133864,0.692781004963048,2.75998823289286
