municipio,Model,# Joinpoints,# Observations,# Parameters,D.F.,SSE,BIC,BIC3,Weight,WBIC
JUAN DE ACOSTA,6,5,57,12,45,      15.7888665,      -0.4325775,      -0.0779239,       0.5186467,      -0.2486376
JUAN DE ACOSTA,5,4,57,10,47,      20.8976445,      -0.2941076,      -0.0103847,       0.5186467,      -0.1469556
JUAN DE ACOSTA,1,0,57,2,55,      32.2965718,      -0.4262287,      -0.4262287,       0.0000000,      -0.4262287
JUAN DE ACOSTA,3,2,57,6,51,      24.4227148,      -0.4219533,      -0.2800918,       0.5231335,      -0.3477408
JUAN DE ACOSTA,2,1,57,4,53,      29.4921951,      -0.3752027,      -0.3042720,       0.0868320,      -0.3690437
JUAN DE ACOSTA,4,3,57,8,49,      22.5761652,      -0.3587108,      -0.1459186,       0.3135227,      -0.2919956
LURUACO,6,5,41,12,29,       8.0982059,      -0.5350304,      -0.0821557,       0.8253472,      -0.1612516
LURUACO,8,7,41,16,25,       6.5300748,      -0.3879548,       0.2460697,       0.8253472,       0.1353355
LURUACO,7,6,41,14,27,       7.3300400,      -0.4535421,       0.0899075,       0.8253472,      -0.0050075
LURUACO,5,4,41,10,31,      11.3257939,      -0.3807400,      -0.0184403,       0.8144718,      -0.0856571
LURUACO,2,1,41,4,37,      33.1773661,       0.1505955,       0.2411705,       0.1758827,       0.1665261
LURUACO,3,2,41,6,35,      18.3358990,      -0.2612617,      -0.0801118,       0.4431204,      -0.1809905
LURUACO,1,0,41,2,39,      40.2580618,       0.1628881,       0.1628881,       0.0000000,       0.1628881
LURUACO,4,3,41,8,33,      13.7097995,      -0.3708618,      -0.0991370,       0.7700093,      -0.1616311
MALAMBO,1,0,78,2,76,      42.1808028,      -0.5030331,      -0.5030331,       0.0000000,      -0.5030331
MALAMBO,2,1,78,4,74,      28.7104535,      -0.7760266,      -0.7201713,       0.3193479,      -0.7581893
MALAMBO,3,2,78,6,72,      22.5417718,      -0.9062073,      -0.7944968,       0.2706173,      -0.8759765
MALAMBO,4,3,78,8,70,      17.6878377,      -1.0369896,      -0.8694239,       0.5953108,      -0.9372359
MALAMBO,5,4,78,10,68,      13.8742138,      -1.1681244,      -0.9447035,       0.5976433,      -1.0345984
MALAMBO,6,5,78,12,66,      12.5296203,      -1.1583505,      -0.8790743,       0.6012502,      -0.9904356
MALAMBO,7,6,78,14,64,      10.2067733,      -1.2516839,      -0.9165525,       0.9378310,      -0.9373872
MALAMBO,8,7,78,16,62,       8.1339034,      -1.3669840,      -0.9759973,       0.9378310,      -1.0003046
MANATÍ,8,7,44,16,28,      11.0554855,      -0.0051940,       0.5968362,       0.8315535,       0.4954263
MANATÍ,6,5,44,12,32,      13.8865244,      -0.1212190,       0.3088025,       0.8251888,       0.2336300
MANATÍ,5,4,44,10,34,      16.0182288,      -0.1504192,       0.1935981,       0.7742355,       0.1159312
MANATÍ,7,6,44,14,30,      11.5286254,      -0.1352962,       0.3807297,       0.7742355,       0.2642294
MANATÍ,3,2,44,6,38,      31.1795516,       0.1715987,       0.3436073,       0.3995343,       0.2403221
MANATÍ,2,1,44,4,40,      41.3066606,       0.2808514,       0.3668557,       0.1466708,       0.2934657
MANATÍ,1,0,44,2,42,      48.4064764,       0.2674526,       0.2674526,       0.0000000,       0.2674526
MANATÍ,4,3,44,8,36,      20.0175607,      -0.0995452,       0.1584677,       0.8251888,       0.1133642
PALMAR DE VARELA,8,7,38,16,22,      12.7604288,       0.4403779,       1.1104596,       0.9312605,       1.0643985
PALMAR DE VARELA,7,6,38,14,24,      13.9850396,       0.3405653,       0.9149210,       0.9312605,       0.8754401
PALMAR DE VARELA,5,4,38,10,28,      17.4845921,       0.1809934,       0.5638972,       0.7552832,       0.4701942
PALMAR DE VARELA,6,5,38,12,26,      15.6754973,       0.2632241,       0.7418538,       0.9312605,       0.7089531
PALMAR DE VARELA,3,2,38,6,32,      20.8683207,      -0.0249982,       0.1664537,       0.3938552,       0.0504061
PALMAR DE VARELA,2,1,38,4,34,      25.5777169,      -0.0129608,       0.0827651,       0.1937929,       0.0055902
PALMAR DE VARELA,1,0,38,2,36,      31.7259895,       0.0110019,       0.0110019,       0.0000000,       0.0110019
PALMAR DE VARELA,4,3,38,8,30,      19.3687124,       0.0918805,       0.3790583,       0.3938552,       0.2049870
PIOJÓ,1,0,22,2,20,      28.5145628,       0.5403763,       0.5403763,       0.0000000,       0.5403763
PIOJÓ,2,1,22,4,18,      14.2800452,       0.1298284,       0.2703303,       0.4992017,       0.1999672
PIOJÓ,3,2,22,6,16,      12.7824803,       0.3000446,       0.5810485,       0.7375143,       0.5072890
PIOJÓ,4,3,22,8,14,      11.9268934,       0.5117688,       0.9332746,       0.7375143,       0.8226353
PIOJÓ,5,4,22,10,12,       8.8777953,       0.4975301,       1.0595378,       0.8607245,       0.9812639
POLONUEVO,7,6,54,14,40,      17.4779977,      -0.0938602,       0.3493603,       0.8807858,       0.2965221
POLONUEVO,8,7,54,16,38,      16.3173363,      -0.0148347,       0.5022558,       0.8807858,       0.4406113
POLONUEVO,6,5,54,12,42,      25.4548584,       0.1343635,       0.5037139,       0.8807858,       0.4596820
POLONUEVO,5,4,54,10,44,      29.8673999,       0.1464843,       0.4419646,       0.8150894,       0.3873272
POLONUEVO,3,2,54,6,48,      41.0700488,       0.1695155,       0.3172557,       0.2242050,       0.2026396
POLONUEVO,2,1,54,4,50,      49.0406520,       0.1991458,       0.2730159,       0.1499723,       0.2102243
POLONUEVO,1,0,54,2,52,      57.6930056,       0.2138920,       0.2138920,       0.0000000,       0.2138920
POLONUEVO,4,3,54,8,46,      37.6682152,       0.2307932,       0.4524034,       0.6821215,       0.3819583
PONEDERA,1,0,42,2,40,      45.2914343,       0.2534326,       0.2534326,       0.0000000,       0.2534326
PONEDERA,2,1,42,4,38,      25.5089225,      -0.1426728,      -0.0536807,       0.4367826,      -0.1038026
PONEDERA,3,2,42,6,36,      20.2972535,      -0.1932312,      -0.0152470,       0.5787136,      -0.0902293
PONEDERA,4,3,42,8,34,      17.8279549,      -0.1449648,       0.1220116,       0.5188502,      -0.0064441
PONEDERA,5,4,42,10,32,      11.0870747,      -0.4419683,      -0.0859998,       0.7684641,      -0.1684193
PONEDERA,6,5,42,12,30,      10.6198557,      -0.3070386,       0.1379221,       0.9413372,       0.1118194
PONEDERA,7,6,42,14,28,      10.2025868,      -0.1691385,       0.3648144,       0.9413372,       0.3334912
