municipio,año,periodo,periodo_continuo,casos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_infante_mayor,ciclo_vital_infante_menor,regimen_salud_otro,regimen_salud_subsidiado,evento_grave,sexo_masculino,dist_rio,dist_lago,acueducto_porcentaje,PPC,Joinpoints,segmento,significancia,pvalor,temp_media_p3,precipitacion_p3,humedad_p3
SABANALARGA,2023,2,67,8,0.125,0.375,0.125,0.375,0.0,0.0,0.375,0.125,0.625,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,26.310846492222392,293.25000166893005,93.79639407566616
SABANALARGA,2023,3,68,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,26.855984076138217,84.33000198751688,90.66850728002088
SABANALARGA,2023,4,69,5,0.4,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,27.29201660156252,56.59999971836805,88.92267526899066
SABANALARGA,2023,5,70,2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,27.30744705200197,39.55499999970198,84.02863883972168
SABANALARGA,2023,6,71,2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,27.544001879010896,112.9350011292845,87.69071851457868
SABANALARGA,2023,7,72,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,28.09337387084963,214.10500180721283,85.11311176845005
SABANALARGA,2023,8,73,5,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.2,0.8,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,28.55617566789902,162.124997921288,88.7241518838065
SABANALARGA,2023,9,74,4,0.25,0.5,0.0,0.25,0.0,0.0,0.75,0.0,1.0,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,28.133564976283505,324.29500007629395,91.217102595738
SABANALARGA,2023,10,75,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,28.322069876534613,265.2749997973442,91.39034598214286
SABANALARGA,2023,11,76,4,0.0,0.75,0.25,0.0,0.0,0.25,0.75,0.0,0.5,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,28.868615722656266,113.68500063568354,91.12595176696776
SABANALARGA,2023,12,77,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,27.998018973214304,194.94500257074836,93.30963379996165
SABANALARGA,2023,13,78,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.705266525333551,8.32490008654472,98.36,-3.2062,1.0,1.0,1.0,0.0,27.96021695818221,220.0900018066168,93.97645650591168
SANTA LUCÍA,2019,4,17,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.134185015397168,9.113102284704611,93.6,-4.7578,0.0,0.0,0.0,0.105179,28.39614854132995,159.26000209649405,86.54609373246116
SANTA LUCÍA,2019,13,26,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,2.134185015397168,9.113102284704611,93.6,-4.7578,0.0,0.0,0.0,0.105179,27.72474096389047,190.74333401272693,92.1848734901065
SANTA LUCÍA,2020,1,27,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,27.029222833542622,188.95333418250084,92.69002387637184
SANTA LUCÍA,2020,5,31,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,29.26806666056317,102.43666793902716,84.25311279296875
SANTA LUCÍA,2020,6,32,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,29.10926571800598,114.30666788419089,83.16717701866513
SANTA LUCÍA,2020,7,33,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,29.63635515485493,118.14333365112545,83.93669073922294
SANTA LUCÍA,2020,8,34,4,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.75,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,29.716889227004305,184.4099997033676,85.35132008507138
SANTA LUCÍA,2020,9,35,4,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.75,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,28.57440283639093,209.2533348550399,87.99432627360025
SANTA LUCÍA,2020,10,36,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,28.400955454508484,197.7333330300947,89.2664221809024
SANTA LUCÍA,2021,10,49,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,27.94857541038879,185.6366674428185,90.03555697486514
SANTA LUCÍA,2021,11,50,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,28.13741545904253,172.86333336681128,90.1209838503883
SANTA LUCÍA,2021,12,51,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,27.1010681152344,276.6999982992808,92.5832265218099
SANTA LUCÍA,2021,13,52,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,27.437961832682312,159.50666730105877,91.8019468216669
SANTA LUCÍA,2022,1,53,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,27.40205917358401,194.10333397984505,91.56615366254536
SANTA LUCÍA,2022,2,54,5,0.2,0.2,0.0,0.6,0.0,0.0,1.0,0.0,0.8,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,28.049927305563926,119.81000029792386,89.84459774310773
SANTA LUCÍA,2022,3,55,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.134185015397168,9.113102284704611,100.0,-4.7578,0.0,0.0,0.0,0.105179,28.08633490668405,13.0,88.14647420247395
