municipio,año,periodo,temp_media,humedad,precipitacion
BARRANQUILLA,2021,10,27.73063158307759,90.37453515189034,244.60999973118305
BARRANQUILLA,2021,11,27.25308489118305,90.21411269051688,307.8200003504753
BARRANQUILLA,2021,12,27.55701708112446,87.15762519836426,101.19000047072768
BARRANQUILLA,2021,13,27.316617290790283,85.76503137441782,24.459999864920974
BARRANQUILLA,2021,14,27.12507527669273,84.2665506998698,0.0
BARRANQUILLA,2022,1,26.862304033551915,83.15967232840401,29.230000004172325
BARRANQUILLA,2022,2,27.290893445696167,80.48012706211635,23.790000962093472
BARRANQUILLA,2022,3,27.662094007219604,81.82392856052944,63.720002816990025
BARRANQUILLA,2022,4,27.77917687552318,84.65938540867397,114.63999987393618
BARRANQUILLA,2022,5,28.055265590122787,86.25105149405343,186.92999997735023
BARRANQUILLA,2022,6,27.624569920131158,88.73963873726981,377.10999685525894
BARRANQUILLA,2022,7,27.86053237915041,88.97304044451032,227.16000250726938
BARRANQUILLA,2022,8,27.683668845040476,90.48420061383929,272.84999933838844
BARRANQUILLA,2022,9,27.724691554478255,90.83268111092704,245.15999805927277
BARRANQUILLA,2022,10,27.130949728829542,92.3011120387486,276.0499979555607
BARRANQUILLA,2022,11,27.047924477713472,91.39153970990863,360.7200025320053
BARRANQUILLA,2022,12,26.9510208129883,89.37862314496722,288.30000040493906
BARRANQUILLA,2022,13,26.973083706559827,84.51222229003906,8.879999995231628
BARRANQUILLA,2023,1,27.011740439278757,83.6100082397461,18.72999992966652
BARRANQUILLA,2023,2,26.518991088867207,81.1663646697998,0.0
BARRANQUILLA,2023,3,27.035095650809176,83.63574872698102,36.30999987758696
BARRANQUILLA,2023,4,27.429751150948675,82.39258139474052,71.29000043310225
BARRANQUILLA,2023,5,28.357547106061684,86.04522596086774,107.15000136755407
BARRANQUILLA,2023,6,28.613722011021228,87.881192616054,312.280000641942
BARRANQUILLA,2023,7,28.711241476876417,88.46080262320382,152.72000051289797
BARRANQUILLA,2023,8,28.672199140276252,90.0985472542899,72.15000046230853
BARRANQUILLA,2023,9,28.518282100132552,90.96524947030204,131.00999804586172
BARRANQUILLA,2023,10,28.56227373395649,90.88095201764789,178.77999883890152
BARRANQUILLA,2023,11,27.783646065848238,91.6006303514753,343.29999792575836
BARRANQUILLA,2023,12,28.242147064209004,88.35164288112095,125.990000564605
BARRANQUILLA,2023,13,27.910812588395768,86.95908724028489,78.91999983787537
CAMPO DE LA CRUZ,2017,1,28.435072108677474,86.38597297668457,29.19000005722046
CAMPO DE LA CRUZ,2017,2,29.07117723737446,84.71317291259766,116.65000000596046
CAMPO DE LA CRUZ,2017,3,28.89836654663088,83.04699979509626,143.75999996811152
CAMPO DE LA CRUZ,2017,4,29.482185799734953,84.76413590567452,232.5599987320602
CAMPO DE LA CRUZ,2017,5,28.42859257289344,88.45117024012974,255.01000395417213
CAMPO DE LA CRUZ,2017,6,28.4157414027623,88.9023917061942,212.5100009739399
CAMPO DE LA CRUZ,2017,7,28.64048047746933,89.2554520198277,169.77999997138977
CAMPO DE LA CRUZ,2017,8,28.338238198416597,91.22970771789551,205.02999904751778
CAMPO DE LA CRUZ,2017,9,27.626220049176915,92.79043252127511,206.26999701559544
CAMPO DE LA CRUZ,2017,10,27.45188293457033,93.01033537728446,161.35999953746796
CAMPO DE LA CRUZ,2017,11,27.93922358921598,91.31198310852051,238.5100046545267
CAMPO DE LA CRUZ,2017,12,27.49529636928015,91.31981141226632,191.48999574780464
CAMPO DE LA CRUZ,2017,13,28.248669012661658,88.43423119906721,189.98000214993954
CAMPO DE LA CRUZ,2018,1,28.023426660998133,89.48679141340584,64.89999977685511
CAMPO DE LA CRUZ,2018,2,28.639424896240257,82.56444658551898,0.7100000120699403
CAMPO DE LA CRUZ,2018,3,28.984226117815314,84.4229313986642,11.439999932423234
CAMPO DE LA CRUZ,2018,4,28.933957127162408,85.32346616472516,79.30000048317015
CAMPO DE LA CRUZ,2018,5,28.021764918736064,88.81998062133789,222.41999995708466
CAMPO DE LA CRUZ,2018,6,28.266679382324238,90.03674425397601,188.97999877482653
CAMPO DE LA CRUZ,2018,7,28.7228109087263,88.68582916259766,80.32999960891902
CAMPO DE LA CRUZ,2018,8,28.703597913469604,89.49709865025112,117.15000058710575
CAMPO DE LA CRUZ,2018,9,28.343882860456212,90.81113134111676,143.48999947309494
CAMPO DE LA CRUZ,2018,10,27.65790764944896,92.27710560389927,234.51000064611435
CAMPO DE LA CRUZ,2018,11,27.281844438825352,91.85635021754673,167.84999957680702
CAMPO DE LA CRUZ,2018,12,28.089903041294665,90.73694801330566,99.09000066295266
