municipio,año,fecha,temp_min_C,temp_max_C,temp_media_C,latitud,longitud
USIACURÍ,2022,2022-06-11,23.800642903645837,28.711958821614587,26.256300862630212,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-12,24.118920898437523,30.007501220703148,27.063211059570335,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-12,22.812890625000023,29.208917236328148,26.010903930664085,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-12,23.949884033203148,29.757379150390648,26.853631591796898,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-12,23.569360351562523,29.715020751953148,26.642190551757835,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-12,23.570916748046898,29.971856689453148,26.771386718750023,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-12,22.878259277343716,29.237878417968773,26.058068847656244,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-12,23.01851128472225,29.352634684244833,26.185572984483542,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-12,23.796502685546898,30.096938069661462,26.94672037760418,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-12,24.142236328125023,30.070520019531273,27.106378173828148,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-12,23.702142333984398,29.938989257812523,26.82056579589846,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-12,22.954625560619263,29.302406141493123,26.128515851056193,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-12,23.413924153645837,29.644026692708337,26.528975423177087,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-12,23.599603271484398,29.914697265625023,26.75715026855471,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-12,24.094720458984398,29.670068359375023,26.88239440917971,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-12,23.45697202329285,29.642158338758748,26.549565181025798,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-12,23.726739501953148,29.784173583984398,26.755456542968773,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-12,23.210168457031273,29.503320312500023,26.356744384765648,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-12,24.018273925781273,29.818271891276083,26.918272908528678,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-12,23.413924153645837,29.644026692708337,26.528975423177087,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-12,24.091851806640648,30.534783935546898,27.313317871093773,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-12,23.962701416015648,29.626916503906273,26.79480895996096,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-12,23.600549316406273,29.337274169921898,26.468911743164085,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-12,22.96710611979171,29.316705322265648,26.141905721028678,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-13,25.243798828125023,30.899987792968773,28.071893310546898,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-13,23.669641113281273,30.483758544921898,27.076699829101585,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-13,24.550378417968773,31.131341552734398,27.840859985351585,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-13,24.143212890625023,31.028131103515648,27.585671997070335,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-13,24.511804199218773,30.787927246093716,27.649865722656244,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-13,23.863549804687523,30.227380371093716,27.04546508789062,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-13,23.91974962022573,30.483500840928798,27.201625230577264,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-13,24.685774739583337,31.096144612630212,27.890959676106775,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-13,24.965722656250023,30.927026367187523,27.946374511718773,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-13,24.509240722656273,31.317834472656273,27.913537597656273,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-13,23.880173972800947,30.398148826316515,27.13916139955873,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-13,24.246596272786462,30.97436930338546,27.61048278808596,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-13,24.286645507812523,31.278222656250023,27.782434082031273,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-13,25.208581542968773,30.542321777343716,27.875451660156244,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-13,24.30798294632524,30.716694697627304,27.51233882197627,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-13,24.560906982421898,31.121514892578148,27.841210937500023,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-13,24.038476562500023,30.739556884765648,27.389016723632835,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-13,24.680698649088583,31.004235839843716,27.84246724446615,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-13,24.246596272786462,30.97436930338546,27.61048278808596,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-13,24.984613037109398,31.378991699218773,28.181802368164085,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-13,24.525994873046898,30.954339599609398,27.740167236328148,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-13,24.681146240234398,30.146600341796898,27.413873291015648,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-13,23.857222493489644,30.483565266927087,27.170393880208366,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-14,24.434259033203148,28.803155517578148,26.618707275390648,10.98152771823087,-74.82774915964693
