municipio,año,fecha,temp_max,latitud,longitud
SANTA LUCÍA,2019,2019-04-10,306.5913391113281,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2019,2019-04-10,306.21143595377606,10.744048200714978,-74.79479581261772
SOLEDAD,2019,2019-04-10,305.6041259765625,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-10,306.850341796875,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-10,304.5540466308594,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-10,305.4983622233073,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-11,302.8980712890625,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-11,303.535888671875,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-11,306.0324401855469,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-11,305.7940368652344,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-11,303.5182800292969,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-11,304.35107421875,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-11,304.3837619357639,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-11,303.91558837890625,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-11,305.3853759765625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2019,2019-04-11,304.504150390625,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-11,304.30220992476853,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-11,304.0735677083333,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-11,305.3163757324219,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-11,302.5865478515625,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-11,304.7991852936921,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-11,304.1806640625,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-11,304.62841796875,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2019,2019-04-11,305.7634785970052,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2019,2019-04-11,304.0735677083333,10.744048200714978,-74.79479581261772
SOLEDAD,2019,2019-04-11,304.0478210449219,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-11,305.87261962890625,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-11,304.2086181640625,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-11,304.1717936197917,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-12,303.333740234375,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-12,304.4095458984375,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-12,306.97979736328125,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-12,306.7001647949219,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-12,303.91802978515625,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-12,305.43896484375,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-12,305.4393174913194,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-12,304.4922587076823,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-12,307.1576538085937,10.45414802741401,-74.98477032732278
