municipio,año,fecha,temp_min,latitud,longitud
MANATÍ,2021,2021-12-08,297.40399169921875,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-08,297.8919982910156,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-08,297.26129376446755,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-08,297.78172810872394,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-08,297.468505859375,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-08,298.6521301269531,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-08,297.3148860224971,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-08,298.0880432128906,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-08,297.2757568359375,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-08,297.6505126953125,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-08,297.78172810872394,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-08,297.9827575683594,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-08,297.8021850585937,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-08,297.6321716308594,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-08,297.2899678548177,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-09,298.4379272460937,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-09,297.1844787597656,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-09,297.3942565917969,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-09,296.966064453125,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-09,297.4403381347656,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-09,296.6480712890625,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-09,296.83504570855035,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-09,297.70655314127606,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-09,297.401123046875,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-09,297.7221069335937,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-09,296.801840322989,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-09,297.6064860026042,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-09,297.2094421386719,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-09,298.3797607421875,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-09,297.0569435402199,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-09,297.9128723144531,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-09,296.9346618652344,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-09,297.42262776692706,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-09,297.6064860026042,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-09,297.7664489746094,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-09,297.4725036621094,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-09,297.4552001953125,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-09,296.9224039713542,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-10,298.4145812988281,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-10,297.0526733398437,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-10,297.5419311523437,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-10,297.106201171875,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-10,297.421630859375,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-10,297.1102905273437,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-10,297.09025743272565,10.635031161141915,-75.15402741021481
